c,idade,sexo,tempo_como_cliente,frequencia_uso,ligacoes_callcenter,dias_atraso,assinatura,duracao_contrato,total_gasto,meses_ultima_interacao,cancelou
3143680,500,Male,510.0,100,30,40,Premium,Quarterly,68571,270,0
3563330,480,Male,490.0,200,30,190,Basic,Annual,63884,240,0
2603480,180,Male,300.0,70,40,30,Basic,Annual,78341,120,0
1876190,600,Male,350.0,160,50,140,Premium,Quarterly,2110,50,0
2907990,500,Male,170.0,190,30,40,Premium,Annual,99451,240,0
4432860,350,Female,260.0,240,0,10,Standard,Annual,7988,120,0
2210450,440,Female,550.0,60,80,10,Premium,Quarterly,16692,240,0
2926580,300,Male,210.0,220,10,10,Basic,Annual,78254,210,0
3286500,490,Male,310.0,170,40,50,Standard,Quarterly,54725,180,0
1761870,630,Female,310.0,230,0,240,Premium,Quarterly,8840,120,0
474640,550,Female,10.0,30,50,40,Basic,Monthly,2560,40,0
1798890,590,Female,100.0,230,20,210,Premium,Quarterly,5800,290,0
1258800,260,Male,270.0,220,30,250,Basic,Monthly,2050,130,0
772200,290,Female,330.0,80,50,10,Standard,Annual,1270,100,0
2803830,240,Female,530.0,180,10,110,Standard,Quarterly,58596,130,0
1196780,650,Female,410.0,140,80,190,Premium,Monthly,4310,80,0
3321630,490,Male,280.0,20,40,90,Premium,Quarterly,92838,180,0
1983640,650,Male,80.0,140,60,170,Premium,Quarterly,4820,150,0
2599220,490,Male,10.0,40,0,190,Standard,Monthly,35027,220,0
1933080,330,Male,340.0,160,40,280,Basic,Quarterly,6310,170,0
233210,280,Male,500.0,250,0,240,Premium,Quarterly,3370,120,0
355620,600,Female,500.0,220,30,40,Premium,Annual,6010,160,0
3056000,330,Male,250.0,120,20,50,Standard,Annual,77018,130,0
1987980,440,Female,300.0,190,80,290,Premium,Monthly,9090,230,0
3527080,470,Female,70.0,250,10,10,Premium,Quarterly,60233,100,0
3492380,380,Male,280.0,180,10,20,Premium,Quarterly,95524,10,0
3239850,390,Male,390.0,10,20,170,Standard,Quarterly,60378,280,0
1743670,230,Male,60.0,20,90,220,Premium,Quarterly,4570,100,0
2414680,390,Male,430.0,10,30,40,Premium,Quarterly,15866,160,0
1049980,360,Male,50.0,180,70,80,Standard,Monthly,8730,80,0
3526230,410,Male,590.0,210,20,110,Standard,Annual,52814,240,0
2837590,470,Female,280.0,140,40,20,Standard,Annual,90464,140,0
1952930,210,Male,80.0,30,70,230,Standard,Monthly,2550,60,0
3832490,250,Male,100.0,250,0,150,Premium,Quarterly,81271,200,0
4126630,320,Female,60.0,140,10,160,Standard,Annual,98987,60,0
3722530,280,Female,450.0,300,10,190,Basic,Quarterly,84346,140,0
583440,430,Female,140.0,110,0,250,Premium,Monthly,7250,230,0
1410860,210,Male,130.0,80,0,60,Premium,Monthly,7980,290,0
3716940,400,Female,540.0,270,10,180,Basic,Quarterly,93554,130,0
15680,340,Male,290.0,90,80,150,Basic,Annual,9050,200,0
2942620,360,Male,400.0,250,20,150,Standard,Annual,51837,100,0
3494370,290,Male,140.0,210,10,130,Premium,Quarterly,64354,110,0
3008900,430,Female,60.0,270,0,180,Premium,Quarterly,58169,60,0
928420,550,Female,300.0,80,30,300,Basic,Monthly,6200,260,0
721720,250,Male,190.0,80,40,80,Standard,Annual,2550,260,0
1496360,640,Male,160.0,260,100,10,Premium,Annual,6440,30,0
729750,600,Female,300.0,80,40,180,Premium,Quarterly,1090,130,0
2761100,400,Male,160.0,150,10,30,Standard,Quarterly,55457,160,0
2588060,230,Male,600.0,160,30,190,Premium,Quarterly,10959,230,0
103690,360,Female,400.0,290,60,280,Premium,Monthly,3250,210,0
165460,610,Male,540.0,120,100,110,Basic,Monthly,5730,220,0
795540,330,Female,240.0,190,60,110,Basic,Monthly,5920,130,0
645290,230,Female,60.0,260,60,150,Premium,Quarterly,6750,180,0
4063920,480,Male,380.0,10,10,30,Basic,Quarterly,94573,20,0
3863020,300,Male,320.0,170,10,180,Basic,Annual,6456,300,0
2603740,320,Female,220.0,250,50,230,Basic,Monthly,40486,210,0
960250,550,Male,210.0,240,100,20,Basic,Quarterly,5040,240,0
1764440,300,Female,290.0,40,80,210,Premium,Quarterly,7420,170,0
2548010,280,Female,230.0,40,30,60,Basic,Monthly,25921,210,0
263340,330,Male,320.0,150,0,10,Basic,Annual,3950,260,0
2897870,460,Male,150.0,200,10,100,Premium,Quarterly,75164,30,0
3210780,290,Female,400.0,160,20,180,Premium,Annual,57003,120,0
117330,500,Female,10.0,60,30,120,Basic,Annual,7150,260,0
3434790,500,Female,380.0,230,50,20,Basic,Annual,97452,70,0
4412870,220,Male,240.0,290,0,140,Premium,Annual,75605,290,0
1547080,340,Female,600.0,20,10,230,Standard,Quarterly,2990,140,0
1511800,400,Male,520.0,200,50,40,Standard,Annual,4910,20,0
3412600,400,Male,540.0,20,10,140,Premium,Annual,94263,280,0
432140,380,Female,130.0,220,80,280,Premium,Annual,9220,80,0
3112020,390,Female,190.0,120,20,160,Standard,Annual,93426,80,0
1023890,230,Female,260.0,220,60,290,Standard,Annual,3140,20,0
3554880,330,Male,500.0,100,30,170,Standard,Annual,9632,160,0
1064440,380,Female,320.0,200,60,30,Basic,Monthly,4610,300,0
4109150,410,Female,290.0,250,30,0,Standard,Annual,6498,100,0
3353790,360,Female,270.0,270,10,10,Basic,Annual,95962,10,0
3696450,320,Male,250.0,80,30,160,Standard,Quarterly,87666,50,0
3975230,300,Male,90.0,150,10,40,Basic,Quarterly,96384,300,0
2168870,320,Female,260.0,240,40,50,Basic,Monthly,1683,200,0
2045330,330,Male,460.0,230,20,220,Standard,Monthly,37662,170,0
3173650,420,Male,490.0,100,10,130,Premium,Quarterly,64981,170,0
363820,430,Male,390.0,30,60,180,Basic,Quarterly,9840,200,0
2984310,340,Male,550.0,100,10,170,Premium,Annual,5016,90,0
3814440,480,Male,380.0,50,40,50,Premium,Annual,74198,150,0
4301110,180,Male,320.0,40,10,20,Standard,Annual,89539,270,0
3684250,300,Female,340.0,90,20,30,Basic,Annual,92136,70,0
2475240,290,Female,470.0,80,100,0,Standard,Quarterly,49811,50,0
4483640,350,Male,220.0,220,30,50,Basic,Quarterly,57211,220,0
2906160,180,Male,350.0,160,0,150,Premium,Annual,90028,160,0
249770,330,Male,350.0,180,60,140,Premium,Quarterly,5520,120,0
1342440,350,Female,570.0,220,60,280,Basic,Monthly,4440,170,0
74460,250,Female,470.0,40,30,110,Basic,Quarterly,8220,70,0
387000,490,Male,200.0,20,90,290,Standard,Quarterly,6760,230,0
3747580,370,Male,120.0,150,20,170,Basic,Annual,89655,140,0
2648740,410,Male,570.0,300,10,70,Premium,Quarterly,78932,270,0
2879820,220,Female,480.0,180,20,160,Premium,Annual,82032,70,0
4287130,390,Male,450.0,220,30,190,Basic,Annual,89052,140,0
588050,220,Female,40.0,80,10,300,Premium,Quarterly,7460,10,0
2859820,250,Male,500.0,70,10,190,Premium,Quarterly,99627,50,0
1148170,510,Female,470.0,130,0,130,Standard,Annual,1490,170,0
1940180,530,Male,450.0,200,10,250,Basic,Quarterly,9840,300,0
3688170,300,Female,330.0,300,30,20,Basic,Annual,80317,100,0
1036380,570,Male,30.0,260,50,300,Premium,Annual,2400,70,0
4353640,330,Male,200.0,220,30,150,Basic,Quarterly,59579,110,0
2957250,430,Male,350.0,120,10,10,Basic,Annual,60687,260,0
982960,640,Female,140.0,150,100,80,Premium,Monthly,1490,270,0
2640600,470,Female,420.0,170,10,170,Standard,Annual,84719,30,0
1684530,540,Male,260.0,260,10,210,Standard,Monthly,8890,280,0
4024540,360,Male,310.0,260,0,60,Standard,Annual,58394,240,0
3422180,390,Female,20.0,170,0,150,Standard,Quarterly,55691,130,0
4352450,440,Male,310.0,90,30,10,Premium,Quarterly,60649,80,0
1807880,180,Male,440.0,260,20,230,Premium,Quarterly,7100,30,0
434710,420,Male,230.0,100,80,70,Standard,Quarterly,6090,130,0
1293380,390,Female,270.0,300,50,40,Basic,Monthly,2860,40,0
4080020,500,Male,350.0,160,50,160,Premium,Quarterly,74613,40,0
2918860,400,Male,310.0,160,20,190,Standard,Quarterly,65657,100,0
4158010,240,Female,300.0,300,20,30,Standard,Annual,76967,130,0
1200050,300,Male,240.0,270,60,240,Premium,Quarterly,7360,120,0
2597690,420,Male,190.0,60,50,40,Basic,Annual,77974,60,0
2024890,440,Male,270.0,70,40,70,Basic,Quarterly,2810,240,0
4323950,390,Female,280.0,200,10,130,Standard,Quarterly,78031,120,0
2454930,630,Male,480.0,190,90,160,Standard,Quarterly,69467,280,0
1619500,180,Female,200.0,190,80,10,Premium,Quarterly,3300,240,0
1847510,400,Female,570.0,160,90,130,Standard,Annual,1230,140,0
3569560,500,Male,180.0,290,40,60,Standard,Quarterly,79553,70,0
292030,370,Female,410.0,60,100,130,Premium,Quarterly,7700,20,0
2221580,650,Male,570.0,300,60,100,Standard,Quarterly,36841,280,0
1496910,400,Male,160.0,190,40,260,Premium,Monthly,1870,90,0
2748340,420,Female,320.0,60,10,40,Basic,Annual,85705,80,0
2885810,370,Female,40.0,20,0,70,Standard,Annual,66884,120,0
2249500,640,Female,240.0,170,100,270,Basic,Monthly,79993,30,0
1122420,300,Female,260.0,240,60,270,Standard,Quarterly,5850,170,0
2840220,490,Male,450.0,290,20,10,Basic,Annual,98856,50,0
1838090,390,Male,200.0,300,10,280,Standard,Annual,4910,260,0
1068720,580,Male,330.0,40,50,200,Standard,Annual,5080,80,0
2436290,620,Female,130.0,230,90,240,Basic,Annual,57685,240,0
2749310,410,Male,70.0,100,30,180,Standard,Annual,60702,160,0
115860,250,Female,150.0,270,50,270,Standard,Annual,5230,130,0
1110770,480,Male,220.0,270,70,20,Standard,Annual,7990,230,0
3719330,390,Male,280.0,210,20,20,Premium,Annual,5789,290,0
4404050,410,Male,90.0,180,20,30,Premium,Annual,69984,30,0
3087740,480,Female,240.0,250,30,190,Standard,Quarterly,65981,20,0
694980,470,Female,160.0,60,30,130,Standard,Annual,9310,60,0
1250320,370,Female,520.0,290,100,190,Standard,Monthly,1350,20,0
3836410,320,Female,250.0,190,10,100,Basic,Quarterly,62363,100,0
3179450,410,Male,370.0,290,20,190,Basic,Quarterly,99602,180,0
1732240,330,Female,140.0,80,10,60,Standard,Monthly,7150,20,0
2374260,260,Female,180.0,170,50,110,Basic,Monthly,20236,110,0
966170,580,Male,20.0,60,30,0,Standard,Annual,6470,290,0
3662700,490,Female,490.0,300,30,30,Basic,Annual,8758,150,0
2927410,300,Male,60.0,150,20,150,Standard,Quarterly,95194,270,0
3860500,320,Female,290.0,300,0,150,Premium,Annual,66671,120,0
286870,190,Male,390.0,140,10,290,Standard,Monthly,6350,100,0
4306940,430,Male,430.0,280,10,80,Premium,Annual,97035,280,0
3314120,490,Male,280.0,140,10,40,Basic,Quarterly,56518,200,0
3303050,200,Male,350.0,280,0,0,Basic,Annual,89454,30,0
4306200,420,Male,230.0,200,10,110,Premium,Quarterly,6387,100,0
1685120,540,Female,560.0,260,90,90,Premium,Annual,9790,160,0
2566990,650,Female,480.0,30,50,30,Basic,Quarterly,14435,40,0
518640,430,Female,510.0,240,60,180,Premium,Quarterly,4340,170,0
3976150,360,Male,400.0,180,30,120,Premium,Quarterly,64473,140,0
2661010,470,Male,200.0,260,20,90,Standard,Quarterly,51757,160,0
1165460,420,Female,490.0,180,10,40,Basic,Quarterly,5110,200,0
4282660,270,Male,220.0,230,10,30,Standard,Quarterly,51875,260,0
3600880,220,Male,290.0,40,20,150,Basic,Annual,66443,10,0
1638580,590,Male,200.0,110,60,280,Standard,Quarterly,9240,270,0
4345660,440,Male,330.0,240,20,80,Premium,Annual,77865,250,0
3876280,340,Female,260.0,190,0,180,Basic,Annual,93592,50,0
314320,600,Male,230.0,90,70,190,Standard,Quarterly,3610,220,0
183310,550,Male,140.0,230,40,220,Basic,Annual,5850,70,0
1935540,460,Male,490.0,70,100,290,Premium,Monthly,9320,170,0
488270,300,Female,280.0,40,60,0,Premium,Annual,4500,300,0
3808380,400,Male,230.0,100,0,140,Basic,Quarterly,9178,250,0
239060,310,Female,540.0,20,80,90,Premium,Annual,6540,100,0
149140,550,Male,60.0,150,90,180,Premium,Monthly,8430,240,0
1771560,200,Male,280.0,130,80,280,Premium,Monthly,8210,70,0
1068050,530,Female,410.0,270,80,200,Standard,Monthly,1980,140,0
1236790,290,Male,390.0,230,0,290,Basic,Quarterly,1310,260,0
1586180,500,Female,490.0,40,60,120,Premium,Annual,1320,210,0
1052020,260,Male,220.0,100,60,120,Premium,Quarterly,7430,150,0
4380950,410,Male,100.0,130,30,190,Premium,Quarterly,64217,10,0
3668830,220,Male,230.0,100,10,190,Basic,Annual,98558,270,0
4356200,320,Male,390.0,170,30,130,Premium,Quarterly,72834,30,0
4272770,430,Male,550.0,100,40,180,Standard,Quarterly,98197,300,0
702320,500,Male,270.0,70,100,300,Basic,Quarterly,5200,70,0
3381910,500,Male,200.0,140,40,190,Standard,Annual,70992,300,0
4191560,180,Male,220.0,110,0,50,Standard,Annual,80493,280,0
3460210,260,Male,470.0,260,20,10,Standard,Quarterly,9811,300,0
3393080,480,Female,360.0,180,40,0,Premium,Annual,72048,10,0
2007230,300,Female,20.0,190,50,250,Standard,Quarterly,4660,50,0
1928530,230,Female,250.0,170,70,290,Premium,Annual,5410,250,0
1844550,240,Female,440.0,210,100,80,Standard,Monthly,3950,50,0
3510840,380,Male,570.0,50,30,0,Premium,Annual,5303,260,0
2046730,570,Male,590.0,110,50,280,Standard,Monthly,29497,130,0
1102520,610,Female,550.0,230,20,80,Premium,Annual,1300,300,0
4015220,370,Male,310.0,100,0,80,Standard,Quarterly,93811,250,0
40270,310,Female,500.0,170,10,70,Standard,Quarterly,8220,230,0
981330,590,Female,260.0,150,20,120,Premium,Quarterly,5340,290,0
2557520,310,Male,310.0,150,0,300,Standard,Quarterly,63494,90,0
3734130,490,Male,210.0,240,10,70,Standard,Annual,90132,300,0
4363460,350,Male,30.0,20,20,130,Premium,Annual,83606,110,0
2913280,470,Male,100.0,100,40,90,Standard,Quarterly,66032,210,0
1373080,230,Female,390.0,180,70,90,Premium,Quarterly,6150,280,0
2931150,480,Female,570.0,240,40,140,Standard,Annual,56991,90,0
2227180,410,Female,540.0,190,40,280,Premium,Annual,18337,250,0
1242380,360,Male,410.0,140,90,250,Premium,Quarterly,5740,180,0
2345240,580,Male,340.0,30,10,220,Premium,Monthly,7415,60,0
3040470,400,Male,500.0,100,30,40,Premium,Quarterly,80478,230,0
614650,590,Female,100.0,40,100,180,Basic,Annual,1140,250,0
2082750,340,Male,520.0,190,70,250,Standard,Annual,37771,10,0
461740,570,Male,500.0,110,100,200,Standard,Quarterly,8160,10,0
53080,500,Male,130.0,190,100,160,Premium,Annual,8500,290,0
497170,200,Male,130.0,50,30,40,Premium,Monthly,6030,240,0
3497740,400,Female,270.0,70,20,90,Basic,Quarterly,63486,30,0
4393400,490,Male,200.0,110,0,10,Standard,Quarterly,83175,230,0
1175340,650,Male,80.0,120,0,130,Basic,Quarterly,1590,170,0
4111320,320,Female,330.0,260,30,140,Basic,Quarterly,79494,90,0
1187240,560,Female,60.0,40,20,240,Premium,Quarterly,4890,280,0
2940930,310,Male,430.0,90,20,30,Standard,Quarterly,61386,210,0
3233030,190,Male,10.0,90,0,120,Standard,Quarterly,75051,80,0
2192470,390,Male,440.0,40,90,0,Premium,Annual,7084,150,0
3044490,420,Male,300.0,120,40,150,Basic,Quarterly,70783,220,0
747790,260,Female,480.0,30,20,60,Premium,Quarterly,1170,230,0
4032140,370,Male,430.0,50,10,60,Basic,Quarterly,97764,270,0
1155030,520,Male,20.0,30,100,70,Standard,Monthly,9370,260,0
2784280,350,Female,390.0,50,0,50,Standard,Quarterly,7870,30,0
606770,560,Female,30.0,30,100,190,Standard,Monthly,1000,200,0
3568380,270,Female,110.0,260,10,90,Standard,Quarterly,74095,10,0
525690,330,Female,570.0,160,70,180,Premium,Monthly,3920,70,0
2105470,640,Female,190.0,30,0,180,Basic,Monthly,26039,200,0
3756510,270,Female,70.0,130,20,130,Standard,Quarterly,85997,150,0
3943770,250,Male,60.0,270,0,200,Standard,Annual,51789,240,0
1145190,400,Male,270.0,180,40,140,Premium,Monthly,7520,210,0
3465560,360,Male,120.0,190,10,150,Premium,Quarterly,78589,270,0
1590260,280,Male,270.0,80,0,210,Basic,Quarterly,6230,180,0
1616890,560,Female,500.0,30,70,230,Basic,Annual,5690,150,0
1859740,340,Female,230.0,240,90,280,Standard,Quarterly,6570,50,0
4031450,230,Male,230.0,300,0,150,Premium,Annual,88577,190,0
4044180,390,Male,240.0,190,30,130,Standard,Quarterly,92261,240,0
955280,220,Female,520.0,220,60,230,Standard,Quarterly,5320,250,0
770710,480,Male,220.0,100,60,20,Basic,Annual,1440,70,0
1460510,580,Female,470.0,120,40,80,Premium,Monthly,6980,190,0
902380,180,Male,80.0,150,90,300,Basic,Monthly,2360,150,0
3137520,390,Male,300.0,30,0,190,Premium,Quarterly,94276,110,0
2598370,380,Female,180.0,60,20,300,Standard,Monthly,54406,300,0
1193020,320,Male,550.0,110,20,110,Basic,Annual,2620,50,0
1553640,360,Female,420.0,280,40,270,Premium,Annual,8230,260,0
4441740,460,Female,380.0,180,0,170,Basic,Annual,6407,60,0
3590850,430,Female,80.0,270,40,50,Premium,Annual,5304,140,0
513790,190,Female,130.0,220,0,240,Standard,Annual,4970,250,0
1549610,620,Female,300.0,260,10,20,Basic,Monthly,6330,50,0
3700110,270,Male,310.0,60,10,50,Premium,Annual,50282,130,0
910960,290,Male,220.0,230,50,200,Basic,Quarterly,8220,250,0
217370,350,Male,140.0,180,20,130,Premium,Annual,5950,260,0
3734810,480,Male,90.0,170,30,150,Premium,Annual,80525,90,0
3344340,470,Male,290.0,120,40,60,Premium,Quarterly,72481,110,0
4228860,390,Male,550.0,140,20,80,Standard,Annual,5449,10,0
874860,180,Female,350.0,40,10,80,Standard,Quarterly,5090,270,0
2648190,350,Male,510.0,240,0,100,Premium,Quarterly,99681,210,0
876260,420,Female,210.0,130,80,290,Premium,Annual,2570,260,0
932520,300,Female,400.0,300,20,160,Premium,Monthly,3320,220,0
602960,270,Male,470.0,190,60,0,Standard,Quarterly,1280,160,0
3432160,500,Male,330.0,250,40,110,Premium,Annual,95248,220,0
674450,480,Female,220.0,80,0,160,Basic,Monthly,3180,160,0
2895540,390,Male,340.0,280,10,60,Basic,Annual,8844,230,0
2716690,250,Female,300.0,90,10,80,Basic,Quarterly,86901,140,0
3661040,460,Female,310.0,60,40,100,Basic,Annual,85341,50,0
309050,180,Female,420.0,220,40,20,Standard,Annual,2840,30,0
2819660,450,Male,580.0,20,20,140,Premium,Quarterly,82928,240,0
1495940,390,Male,550.0,260,20,120,Basic,Monthly,6590,260,0
852850,560,Male,580.0,190,10,20,Standard,Monthly,9550,110,0
3903880,500,Male,190.0,100,10,10,Standard,Quarterly,61961,110,0
332440,520,Male,370.0,40,90,130,Premium,Monthly,2580,180,0
895990,310,Male,220.0,290,20,230,Premium,Monthly,7480,10,0
3923580,270,Male,590.0,70,20,50,Premium,Annual,89591,20,0
2274810,350,Female,270.0,220,50,290,Premium,Quarterly,33773,40,0
2433050,330,Male,480.0,280,100,30,Premium,Quarterly,48749,270,0
1030280,370,Female,100.0,190,10,220,Premium,Monthly,4420,20,0
2850430,490,Female,80.0,290,40,90,Basic,Annual,76385,80,0
1636360,460,Female,440.0,40,30,20,Standard,Monthly,5830,300,0
1284510,590,Female,380.0,60,10,0,Standard,Monthly,4560,80,0
2509230,430,Male,600.0,20,40,120,Premium,Monthly,19901,110,0
2266290,280,Male,100.0,80,90,10,Basic,Annual,40721,30,0
2727630,450,Male,400.0,70,10,60,Basic,Annual,5820,120,0
3964960,430,Male,70.0,170,0,70,Standard,Annual,67816,10,0
1274570,230,Female,140.0,10,10,40,Basic,Annual,5180,130,0
59510,460,Female,440.0,20,10,130,Basic,Quarterly,6520,300,0
2116420,250,Female,600.0,80,80,20,Premium,Quarterly,47645,250,0
1922200,230,Female,170.0,120,100,90,Standard,Quarterly,3790,240,0
3912230,190,Female,240.0,230,0,20,Standard,Quarterly,87382,120,0
46370,360,Female,60.0,70,60,110,Standard,Annual,7100,50,0
2170520,180,Male,70.0,110,10,210,Standard,Monthly,25195,260,0
367510,450,Female,120.0,30,30,140,Standard,Annual,9340,80,0
969230,350,Female,50.0,10,90,110,Basic,Annual,7130,50,0
1637350,450,Female,360.0,80,60,20,Basic,Monthly,2060,200,0
3772180,460,Male,480.0,190,30,100,Standard,Quarterly,70055,170,0
1819390,270,Male,70.0,260,90,300,Standard,Monthly,1710,200,0
1162710,460,Female,240.0,60,90,50,Basic,Quarterly,7730,80,0
394310,230,Male,440.0,30,50,150,Premium,Quarterly,7370,180,0
2387490,440,Male,180.0,280,70,120,Standard,Annual,82452,20,0
1970580,480,Female,70.0,20,80,240,Premium,Monthly,4680,290,0
4094470,220,Male,240.0,150,20,0,Basic,Annual,81049,70,0
187910,340,Male,330.0,150,30,90,Premium,Quarterly,7910,210,0
117250,420,Male,180.0,140,50,220,Premium,Monthly,2480,260,0
939850,310,Male,220.0,290,50,130,Standard,Monthly,2560,220,0
2906730,430,Male,570.0,250,10,40,Premium,Quarterly,67678,190,0
397620,610,Male,200.0,90,20,240,Premium,Monthly,6540,70,0
3858460,320,Male,480.0,300,0,70,Standard,Annual,87045,60,0
258110,180,Female,490.0,10,40,180,Basic,Monthly,9140,20,0
3817680,500,Male,60.0,20,30,120,Standard,Quarterly,71928,40,0
3087440,430,Female,340.0,230,0,40,Premium,Quarterly,68156,50,0
2525550,210,Male,450.0,40,20,240,Premium,Quarterly,5956,160,0
2625070,470,Female,180.0,280,10,110,Basic,Annual,78543,110,0
3067180,440,Female,130.0,150,30,10,Standard,Annual,88127,80,0
3258940,500,Female,560.0,90,20,100,Basic,Annual,5035,130,0
4295820,270,Male,250.0,190,10,20,Basic,Quarterly,59044,30,0
533570,510,Female,90.0,90,40,130,Standard,Quarterly,4100,80,0
1872830,330,Male,140.0,140,60,210,Basic,Annual,7600,230,0
792480,380,Female,300.0,240,20,120,Standard,Monthly,7520,280,0
1474380,300,Male,470.0,170,60,170,Standard,Monthly,2530,220,0
2571290,380,Male,460.0,20,60,80,Standard,Quarterly,21823,140,0
1876690,240,Male,370.0,260,100,50,Premium,Quarterly,4850,270,0
401120,220,Male,90.0,40,40,10,Basic,Quarterly,8040,250,0
1017940,350,Male,400.0,120,80,190,Standard,Quarterly,7640,60,0
3391260,350,Female,60.0,40,30,30,Standard,Annual,94481,50,0
2985250,230,Female,90.0,20,0,20,Premium,Quarterly,94784,120,0
2128240,510,Female,150.0,100,20,220,Basic,Monthly,60047,60,0
1000280,440,Female,170.0,290,40,70,Premium,Monthly,8670,70,0
3461300,330,Male,150.0,200,30,150,Basic,Quarterly,55415,170,0
4139880,180,Female,530.0,140,0,190,Standard,Quarterly,88978,20,0
3784470,360,Female,10.0,130,0,140,Standard,Quarterly,90237,130,0
1192940,480,Male,450.0,230,40,170,Standard,Monthly,6220,210,0
4327490,480,Male,450.0,280,0,80,Premium,Quarterly,9315,200,0
3193360,440,Male,430.0,30,40,190,Premium,Annual,93241,170,0
1309470,390,Male,480.0,80,20,20,Standard,Quarterly,4910,160,0
1676070,200,Female,590.0,10,40,190,Premium,Monthly,9410,150,0
539790,570,Female,550.0,90,10,80,Premium,Quarterly,4300,180,0
3265900,290,Female,270.0,270,10,170,Standard,Annual,61475,80,0
3882520,280,Male,320.0,40,10,190,Standard,Annual,83169,70,0
3379920,380,Female,410.0,220,0,70,Premium,Quarterly,90882,150,0
1931590,630,Male,210.0,260,60,280,Basic,Quarterly,7810,20,0
3031280,460,Male,60.0,130,40,180,Basic,Quarterly,88512,240,0
3140860,230,Male,120.0,190,20,50,Basic,Annual,98125,210,0
290020,300,Female,300.0,290,70,210,Basic,Annual,9120,40,0
3668620,470,Male,120.0,120,0,150,Basic,Annual,97925,10,0
173590,630,Female,570.0,260,40,100,Basic,Annual,3080,160,0
3469780,250,Male,510.0,200,20,200,Basic,Annual,89955,160,0
315970,370,Male,530.0,160,90,90,Basic,Annual,5540,100,0
41830,530,Female,590.0,240,20,210,Standard,Quarterly,1510,70,0
4077340,370,Male,310.0,50,30,130,Basic,Annual,61054,60,0
1777180,530,Female,390.0,240,30,210,Basic,Quarterly,5110,300,0
1182580,640,Male,90.0,290,100,190,Standard,Monthly,9250,280,0
686970,280,Male,400.0,290,80,130,Standard,Quarterly,4740,210,0
